epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,498.17,0.83687,1.31617,0.66475,0.92762,0.76879,0.742,0.8025,0.57814,0.74736,0.71985,0.76448,0.45126,0.81834,1.40364,0.65999,0.93398,0.0011884,0.0011884,0.0011884
31,514.528,0.84957,1.32038,0.67068,0.93194,0.74881,0.75282,0.79067,0.56873,0.7315,0.70928,0.74502,0.44475,0.86892,1.34255,0.67707,0.94944,0.0011719,0.0011719,0.0011719
32,530.17,0.83936,1.3025,0.66078,0.93253,0.80288,0.7421,0.82144,0.58663,0.80144,0.7335,0.80012,0.48432,0.88053,1.28989,0.71537,0.94665,0.0011554,0.0011554,0.0011554
33,545.886,0.83876,1.29769,0.6531,0.92736,0.79902,0.73328,0.81387,0.5824,0.78858,0.71632,0.78551,0.48231,0.86189,1.23078,0.71201,0.94783,0.00113889,0.00113889,0.00113889
34,563.29,0.82999,1.30319,0.66279,0.92916,0.77159,0.76773,0.8155,0.59322,0.76573,0.73848,0.78885,0.49753,0.86178,1.23679,0.69519,0.95047,0.00112239,0.00112239,0.00112239
35,580.162,0.8253,1.29177,0.64153,0.92071,0.80239,0.75914,0.80986,0.58928,0.78062,0.72149,0.77493,0.4848,0.84477,1.22953,0.75504,0.93649,0.00110589,0.00110589,0.00110589
36,596.358,0.80831,1.29851,0.63324,0.92108,0.77618,0.75894,0.80795,0.58967,0.78422,0.72166,0.77971,0.47946,0.83955,1.24584,0.69057,0.92602,0.00108938,0.00108938,0.00108938
37,612.131,0.8101,1.24902,0.63337,0.9225,0.78555,0.76321,0.82054,0.59796,0.77634,0.73174,0.78083,0.4838,0.80627,1.25185,0.63592,0.92354,0.00107288,0.00107288,0.00107288
38,629.299,0.7915,1.24862,0.618,0.91513,0.7859,0.76178,0.81707,0.59222,0.79553,0.7168,0.77782,0.47113,0.82478,1.34719,0.62872,0.92476,0.00105638,0.00105638,0.00105638
39,646.039,0.81509,1.26555,0.62729,0.92004,0.79389,0.75723,0.827,0.59465,0.7808,0.7344,0.79364,0.48994,0.84006,1.2108,0.64775,0.93618,0.00103987,0.00103987,0.00103987
40,662.135,0.80356,1.2438,0.62553,0.91913,0.76631,0.75618,0.82484,0.60234,0.7636,0.71604,0.78248,0.47958,0.81623,1.23384,0.65122,0.9261,0.00102337,0.00102337,0.00102337
41,678.233,0.80642,1.2479,0.63007,0.91914,0.79894,0.77443,0.82686,0.60832,0.8023,0.73073,0.79219,0.48423,0.81835,1.23076,0.66279,0.92637,0.00100687,0.00100687,0.00100687
42,696.108,0.79777,1.25073,0.61378,0.91496,0.80791,0.7518,0.82509,0.61697,0.79967,0.73252,0.79852,0.49795,0.76767,1.2219,0.61681,0.91005,0.000990365,0.000990365,0.000990365
43,713.436,0.79888,1.25012,0.62223,0.91651,0.79947,0.75626,0.82237,0.61315,0.78523,0.73626,0.79322,0.49411,0.79281,1.22673,0.64371,0.92452,0.000973861,0.000973861,0.000973861
44,728.982,0.78685,1.24068,0.61304,0.91469,0.77252,0.76119,0.82033,0.60357,0.76067,0.73269,0.78689,0.48326,0.79519,1.2324,0.6674,0.91392,0.000957358,0.000957358,0.000957358
45,745.242,0.79105,1.25582,0.60568,0.91743,0.78994,0.75785,0.81675,0.61323,0.7895,0.73334,0.78816,0.49533,0.79972,1.22958,0.6464,0.90892,0.000940855,0.000940855,0.000940855
46,762.209,0.79637,1.24021,0.61875,0.91784,0.77551,0.74657,0.8071,0.59026,0.774,0.72152,0.77639,0.48067,0.80505,1.29386,0.70168,0.91368,0.000924352,0.000924352,0.000924352
47,778.299,0.78686,1.22765,0.59665,0.90773,0.81149,0.74321,0.81998,0.59639,0.80534,0.72063,0.79241,0.48714,0.856,1.31085,0.62881,0.92563,0.000907848,0.000907848,0.000907848
48,794.074,0.7546,1.1973,0.58587,0.9082,0.79956,0.78775,0.82755,0.6162,0.78138,0.75121,0.79198,0.48636,0.80547,1.24591,0.58527,0.91913,0.000891345,0.000891345,0.000891345
49,810.282,0.76405,1.18774,0.57826,0.9083,0.78944,0.79259,0.83394,0.61837,0.78628,0.74887,0.79719,0.48027,0.79899,1.2283,0.57684,0.9257,0.000874842,0.000874842,0.000874842
50,827.213,0.77666,1.23116,0.59241,0.911,0.79531,0.79631,0.83881,0.62027,0.80926,0.75533,0.81575,0.50705,0.80324,1.183,0.60924,0.92404,0.000858338,0.000858338,0.000858338
51,842.843,0.77863,1.21595,0.58387,0.90584,0.807,0.78563,0.84171,0.61539,0.79282,0.76755,0.81676,0.51489,0.82964,1.18653,0.60388,0.93522,0.000841835,0.000841835,0.000841835
52,859.994,0.77375,1.19767,0.57741,0.90272,0.80447,0.76094,0.83343,0.61066,0.78266,0.74422,0.80156,0.49839,0.82188,1.1894,0.63177,0.92874,0.000825332,0.000825332,0.000825332
53,875.523,0.75505,1.1868,0.57385,0.90521,0.80115,0.77395,0.83464,0.61122,0.78801,0.74355,0.79934,0.49683,0.80165,1.20234,0.63486,0.93001,0.000808828,0.000808828,0.000808828
54,892.999,0.75105,1.17828,0.56474,0.90455,0.80591,0.77153,0.83612,0.61914,0.78526,0.74097,0.79971,0.50934,0.78023,1.19871,0.58365,0.9196,0.000792325,0.000792325,0.000792325
